Mã serial,Mã dự thưởng
"000134","B5CA5918"
"000135","3615EC5C"
"000136","6C940D25"
"000137","9004DEB0"
"000138","1E90AF70"
"000139","3AF943D9"
"000140","79C45CCE"
"000141","D1B7A30F"
"000142","51D78117"
"000143","AC6D39AF"
"000144","757248B3"
"000145","ACBC7EB1"
"000146","1EBCE90A"
"000147","14ABC77A"
"000148","CC868E9C"
"000149","FCF1028A"
"000150","DFE72FA6"
"000151","A71BC44D"
"000152","13BDB0DF"
"000153","56BDEC05"
"000154","191FAE4A"
"000155","9AB6F974"
"000156","1956F1E8"
"000157","C6BAB040"
"000158","25CDFD7B"
"000159","F35CF9B4"
"000160","B57D4CBC"
"000161","EF66F98E"
"000162","19F1CD66"
"000163","73C81D69"
"000164","6A8EC71B"
"000165","E8A57787"
"000166","98A5CB2E"
"000167","5F25FED4"
"000168","72927EF3"
"000169","EAAF6260"
"000170","E621EE56"
"000171","2C20DCAE"
"000172","ACD9D29A"
"000173","29C411C4"
"000174","CF9F945C"
"000175","63733BE4"
"000176","5DF50691"
"000177","88E4055F"
"000178","496DC4E5"
"000179","D9EB30A9"
"000180","CCCFC0C5"
"000181","6072C1EA"
"000182","4AF00273"
"000183","F90EA63A"
"000184","29F5C46A"
"000185","91A6DFF5"
"000186","B92E0479"
"000187","BA5E0DDA"
"000188","19AC4683"
"000189","B13BAED8"
"000190","BB06BF95"
"000191","177ECCA9"
"000192","CEB83CB9"
"000193","5AE3C920"
"000194","CE05139D"
"000195","FD62CF6C"
"000196","B256078A"
"000197","FB87FE05"
"000198","50408A1D"
"000199","39CEA122"
"000200","3E12D9F1"
"000201","A269EC08"
"000202","82A07CFE"
"000203","516B620D"
"000204","BDE43702"
"000205","E0CDAF99"
"000206","574407B3"
"000207","30DE0522"
"000208","4C05F03E"
"000209","1CDA045F"
"000210","B1BD24D6"
"000211","2D292DEF"
"000212","DCD2FAEA"
"000213","BEEA38A3"
"000214","823956D1"
"000215","76EB1305"
"000216","FEF9815C"
"000217","289956B7"
"000218","F99E3A44"
"000219","E0D4C319"
"000220","9C168FDC"
"000221","E259DDC8"
"000222","BB0C63F0"
"000223","C4042B24"
"000224","E6F1BD63"
"000225","6F796F65"
"000226","6726EACC"
"000227","94B64396"
"000228","5F3D2BDA"
"000229","20FBCF3C"
"000230","66E9FB25"
"000231","BF12BC9C"
"000232","C6EA482E"
"000233","5DC498D1"
"000234","D6C6D612"
"000235","369E8F2F"
"000236","12CFA0B8"
"000237","EA130314"
"000238","4F279B0A"
"000239","D32ED1DF"
"000240","97883A9A"
"000241","F15F1AFE"
"000242","15693E9D"
"000243","B4012DDB"
"000244","4420BF41"
"000245","E433D018"
"000246","6FC60890"
"000247","6CEB5AB8"
"000248","C652E68C"
"000249","AFAD3396"
"000250","7796FFE1"
"000251","AA5EFA7A"
"000252","37BB7B0E"
"000253","2DCE49B4"
"000254","47BEA14B"
"000255","7F4B3886"
"000256","10A359A0"
"000257","6CEDD168"
"000258","B8FB3F7E"
"000259","23B18E06"
"000260","F39FCC54"
"000261","21055A75"
"000262","134B6F35"
"000263","8C0F0751"
"000264","657A9F75"
"000265","DBBA1104"
"000266","227ADF6B"
"000267","40876BFD"
"000268","CE7E5344"
"000269","A7829DC3"
"000270","A459FA9F"
"000271","570BAB43"
"000272","656EC65A"
"000273","87597551"
"000274","210EB38D"
"000275","2D80EB14"
"000276","6122BC78"
"000277","96F6FDA3"
"000278","B958DE24"
"000279","B839993F"
"000280","93DEA072"
"000281","379AE489"
"000282","E3907212"
"000283","7DDDE149"
"000284","333CE107"
"000285","2AF80B13"
"000286","4E901938"
"000287","1C2CE323"
"000288","689C4818"
"000289","48E26226"
"000290","31AA6860"
"000291","B0CC0F8D"
"000292","F8B8AC9C"
"000293","3CEA1A80"
"000294","D2342365"
"000295","5EA60363"
"000296","7D3E6198"
"000297","3F1B8968"
"000298","FA19EC56"
"000299","73264B65"
"000300","80D4BE2B"
"000301","96A71E62"
"000302","DF63BE96"
"000303","46EB6665"
"000304","CD48205A"
"000305","B640CB2B"
"000306","92749131"
"000307","5B546B8E"
"000308","7427CC2A"
"000309","E892420E"
"000310","70408B08"
"000311","299BB635"
"000312","4C5806AB"
"000313","8F276494"
"000314","7EA01965"
"000315","E8FBF11B"
"000316","9AC4C791"
"000317","A7C8454E"
"000318","73525A0A"
"000319","2FA8E6D4"
"000320","818D6B89"
"000321","43401E06"
"000322","D22D2980"
"000323","AE31742B"
"000324","CFADBD6D"
"000325","E51C96D8"
"000326","DC65409A"
"000327","4E2BFEA8"
"000328","2354BC93"
"000329","F5FCC315"
"000330","A9C4BB38"
"000331","63DACD4D"
"000332","12C57C97"
"000333","29932EA5"
"000334","85126A9A"
"000335","D6C1A3D2"
"000336","BACA8148"
"000337","568A5FCF"
"000338","36D85186"
"000339","36F20256"
"000340","366FF561"
"000341","11072B00"
"000342","8D23ADC1"
"000343","E41F6601"
"000344","71E51C9F"
"000345","B0903A74"
"000346","13C4EA73"
"000347","5858EF69"
"000348","52115F61"
"000349","F7AE293F"
"000350","F701DD5A"
"000351","9291C9B0"
"000352","4B9552F8"
"000353","B6A38F0A"
"000354","6298B237"
"000355","14EDB43B"
"000356","3E9C1B63"
"000357","2B286246"
"000358","285DDBE9"
"000359","101312D5"
"000360","610D8A43"
"000361","ED200A29"
"000362","94AB768B"
"000363","578FDC8E"
"000364","AE5D55C5"
"000365","9BCD8507"
"000366","A3446EFD"
"000367","FBAAD0C7"
"000368","8B5FCDD7"
"000369","581502E5"
"000370","F539D9DE"
"000371","A2C64D40"
"000372","CD3869F1"
"000373","C6E6512E"
"000374","27CCD1F0"
"000375","C7C6285A"
"000376","6CA292A2"
"000377","BAF778C0"
"000378","BD33457C"
"000379","8BB5EDB2"
"000380","328106A6"
"000381","8E82F297"
"000382","2A9209D6"
"000383","1F38DEBC"
"000384","97CC38F5"
"000385","44C8CB35"
"000386","D26A9E31"
"000387","FC1914B3"
"000388","E9A40E47"
"000389","BF9E1C9E"
"000390","F826F6C9"
"000391","6897262C"
"000392","42754FB6"
"000393","EF62375A"
"000394","D059B4B7"
"000395","BCE7B13F"
"000396","E2CF3CCF"
"000397","833CE39A"
"000398","E9B527C1"
"000399","9F982626"
"000400","47B19702"
"000401","A49510C2"
"000402","D4A77B3A"
"000403","E7603714"
"000404","58C7882F"
"000405","F33B5A1D"
"000406","6AF66EAD"
"000407","28314902"
"000408","CF2FC45E"
"000409","87CFBE1C"
"000410","F5A0F778"
"000411","16214977"
"000412","C51E4594"
"000413","C775E9C1"
"000414","8DB93132"
"000415","6B1A4557"
"000416","F7D004DD"
"000417","CEF7742A"
"000418","E4D4F4DE"
"000419","EC042562"
"000420","97F50A85"
"000421","4BFF7053"
"000422","331F7D7F"
"000423","2769EA24"
"000424","A0E13F53"
"000425","1126AF3A"
"000426","9C02787C"
"000427","F267CDE0"
"000428","9480516E"
"000429","FD141858"
"000430","BEC8DCE4"
"000431","40FBA8A1"
"000432","E93519AA"
"000433","FE007031"
"000434","5E89F419"
"000435","1C9CF60B"
"000436","FF78DAC4"
"000437","9178F67A"
"000438","5416E65B"
"000439","4F4DE017"
"000440","373AB99A"
"000441","5C483579"
"000442","75913867"
"000443","4A22AB87"
"000444","38ABD276"
"000445","57F8630B"
"000446","29BC9126"
"000447","5C88E848"
"000448","A9504895"
"000449","7A6EB78D"
"000450","590A29A3"
"000451","7D63C330"
"000452","D4D9B0D2"
"000453","C8AB14CE"
"000454","BBC849C2"
"000455","E05EDD5B"
"000456","A97B36E6"
"000457","B7C3633B"
"000458","F3CC2FFC"
"000459","28A502ED"
"000460","7913DE7E"
"000461","C6BDFDAE"
"000462","9058C278"
"000463","CE742970"
"000464","3BB73E7A"
"000465","38FA9572"
"000466","CCF06CF7"
"000467","AED40CAB"
"000468","44C917AD"
"000469","5B64E3F2"
"000470","2F2C8832"
"000471","5C00D141"
"000472","DA0C25F3"
"000473","E6B894FC"
"000474","8CA0AD6E"
"000475","21E709F6"
"000476","13B08DE1"
"000477","5EA9BE4F"
"000478","183C5484"
"000479","5C5A7E3B"
"000480","AD9A4353"
"000481","10D14E86"
"000482","8E891C5D"
"000483","E47D1673"
"000484","BCC3CCB9"
"000485","3EC8CD83"
"000486","81902055"
"000487","A01748F7"
"000488","3FCDC004"
"000489","BCECCF6C"
"000490","D01CB669"
"000491","606F6B3B"
"000492","DF775BD1"
"000493","F2C979FD"
"000494","907EF8D3"
"000495","EE79456B"
"000496","3AE89A5D"
"000497","63407FE2"
"000498","94DC7C56"
"000499","E003495B"
"000500","6C62211E"
"000501","B103EBA8"
"000502","9E898FB8"
"000503","ECD2CD11"
"000504","3D136945"
"000505","A80D1F8D"
"000506","F6D166D3"
"000507","C36CA5E8"
"000508","D283857C"
"000509","4E4367A0"
"000510","15FF909C"
"000511","33938A50"
"000512","7D24E02D"
"000513","3C917F31"
"000514","B5691885"
"000515","C8519376"
"000516","6658572D"
"000517","B6356996"
"000518","8E9FB264"
"000519","FCAE4335"
"000520","BC5010C7"
"000521","CE21FC4C"
"000522","30E551C5"
"000523","44FE6E3D"
"000524","B3EE6C16"
"000525","79D57EE3"
"000526","9E628B97"
"000527","23076531"
"000528","9BE96DC9"
"000529","D614BB71"
"000530","9C8E2354"
"000531","A4FAC6A8"
"000532","49270555"
"000533","BC85E291"
"000534","EEA023D0"
"000535","869C4EAC"
"000536","FA728F82"
"000537","2932A411"
"000538","ADD6E109"
"000539","E0AF0CB7"
"000540","9157F2A9"
"000541","A484D791"
"000542","E1C047D0"
"000543","E5135B50"
"000544","971CB5F0"
"000545","E15D1B4E"
"000546","CAA5D5CF"
"000547","D5CAFA8D"
"000548","C77B743E"
"000549","6F6EC403"
"000550","31A59CDA"
"000551","5264AE7F"
"000552","46F20AB0"
"000553","C8187EC4"
"000554","94EEB4F1"
"000555","821CBF13"
"000556","801EDF0C"
"000557","777D0AE9"
"000558","6B0372EE"
"000559","494BBE3A"
"000560","12D5A604"
"000561","F4AB5F9A"
"000562","4DCFCF81"
"000563","3E88EAF1"
"000564","683FFF21"
"000565","A231AA16"
"000566","75CE570C"
"000567","A7319E72"
"000568","218A50C2"
"000569","CC827CFE"
"000570","D66204E0"
"000571","C3D317F2"
"000572","82493A9A"
"000573","3D1F9252"
"000574","46F76845"
"000575","33400C1C"
"000576","9CF006C1"
"000577","B0898065"
"000578","206B772F"
"000579","1EE7583B"
"000580","165C742F"
"000581","697FC397"
"000582","D3A268F4"
"000583","5C4D37E9"
"000584","ADA83B7E"
"000585","FE2877F7"
"000586","FD24FE77"
"000587","E6545E00"
"000588","F71CAFFB"
"000589","3343283D"
"000590","CA0692B6"
"000591","C55050C5"
"000592","A450DBA6"
"000593","5696103F"
"000594","74425A65"
"000595","EEA66859"
"000596","F826746C"
"000597","2C512F2F"
"000598","302A28F4"
"000599","C40ED005"
"000600","63860FCF"
"000601","1B2E9121"
"000602","696D2664"
"000603","F752ED3E"
"000604","4F66EE44"
"000605","70A3279F"
"000606","A4A8CC05"
"000607","91B283F6"
"000608","79DAC1F1"
"000609","B97F983C"
"000610","D2628CC2"
"000611","35E504F7"
"000612","B681D35E"
"000613","D3EC5C2A"
"000614","A9B48BB0"
"000615","D8F859AF"
"000616","66F7DD1F"
"000617","EDB89380"
"000618","BBE3B897"
"000619","911A95B7"
"000620","CD7605EA"
"000621","E57EECA0"
"000622","8E81BB5D"
"000623","79A7EA76"
"000624","F3125303"
"000625","1E2FFC82"
"000626","B7A9098C"
"000627","49A23D7D"
"000628","DBB0F75A"
"000629","831D6AE6"
"000630","D74D8454"
"000631","1503C3E1"
"000632","DBE7DD63"
"000633","6EAD5308"
"000634","898806C5"
"000635","3A29FD82"
"000636","48C0CB47"
"000637","FF6933E4"
"000638","C02F38B9"
"000639","72E27566"
"000640","D6728217"
"000641","B627D8A0"
"000642","35FC1203"
"000643","246EA52E"
"000644","71D539D7"
"000645","8C9D8C99"
"000646","E2E465CA"
"000647","FB205A04"
"000648","F082D576"
"000649","FDAA0B5A"
"000650","A041DA14"
"000651","3CFBFE15"
"000652","6D3F3491"
"000653","58477ACE"
"000654","33C7A8F2"
"000655","EB1A23A4"
"000656","1970FD9E"
"000657","CB09E078"
"000658","22358E6B"
"000659","E34DB4CF"
"000660","B91F46CC"
"000661","80AA62B9"
"000662","462240AA"
"000663","8AE02540"
"000664","45147528"
"000665","F625C13B"
"000666","A423D227"
"000667","40010686"
"000668","FE72BB0E"
"000669","E8815FC6"
"000670","F408609B"
"000671","D1D25F8E"
"000672","F8328E4B"
"000673","4356428E"
"000674","66BD6E30"
"000675","FEC72960"
"000676","CDAF7C48"
"000677","99CD601C"
"000678","D1F044B2"
"000679","26554AAA"
"000680","4993B672"
"000681","B9C4A2F3"
"000682","9D5DC570"
"000683","15C87A0B"
"000684","461EBA8C"
"000685","E4600121"
"000686","223402F5"
"000687","404F6168"
"000688","CEEF781D"
"000689","4856041D"
"000690","B2D40703"
"000691","782864B9"
"000692","A5264C5A"
"000693","C0D32799"
"000694","78AE2053"
"000695","A21F6C8E"
"000696","68DF3E82"
"000697","47DB66B5"
"000698","6EDF20FE"
"000699","5D5A1155"
"000700","46B0D26F"
"000701","6C9D5E5F"
"000702","2AA0E219"
"000703","B7BB8D6D"
"000704","9D07D917"
"000705","55366474"
"000706","3E8C752B"
"000707","62F5CDCE"
"000708","9BE49AC2"
"000709","5FF2EDC9"
"000710","D318613F"
"000711","C7A90980"
"000712","B9A9BD71"
"000713","1A22ABAB"
"000714","7DA9491E"
"000715","9ABF3986"
"000716","495943D7"
"000717","CA23B8C4"
"000718","1FF75E12"
"000719","9D7CD4E6"
"000720","99C80AEB"
"000721","A7543ACA"
"000722","DB76FC3B"
"000723","228C2FCA"
"000724","D9FC1ED3"
"000725","6D25D71F"
"000726","B7DED2C7"
"000727","B194DD64"
"000728","6D164D71"
"000729","1E9A5A05"
"000730","40D1F885"
"000731","DFBC73F2"
"000732","CFD3533E"
"000733","7CFCF0E3"
"000734","95204702"
"000735","7DBA15AE"
"000736","32DD015A"
"000737","37B75798"
"000738","A9FB665D"
"000739","53F21AEE"
"000740","17CFC1D1"
"000741","A3AE5919"
"000742","BDEAE087"
"000743","2A5B4070"
"000744","E304D46A"
"000745","169D021E"
"000746","D235A00C"
"000747","ECBAB7AA"
"000748","91DDA7A5"
"000749","C671E8AA"
"000750","DDE33A39"
"000751","BC107AE9"
"000752","1C78AB1B"
"000753","15BDE3F0"
"000754","7B63640E"
"000755","9BD94443"
"000756","CA640052"
"000757","D4CF99B7"
"000758","6155F35F"
"000759","F51787B0"
"000760","BC0E6247"
"000761","E3233DB3"
"000762","B7D9C87E"
"000763","11E0CF9F"
"000764","1E62AAA6"
"000765","8659E29B"
"000766","6E3504F7"
"000767","9A78DB6F"
"000768","5B2651C9"
"000769","6AF7C1C5"
"000770","D894ED01"
"000771","50CFE571"
"000772","8F5F498B"
"000773","37B4D094"
"000774","730FD3A1"
"000775","5885656C"
"000776","4131916D"
"000777","A6370F05"
"000778","5DFF704D"
"000779","285CBBF3"
"000780","6850E8A4"
"000781","9399E2BE"
"000782","2036030B"
"000783","EE5D1C39"
"000784","5F4EF981"
"000785","1031EB9A"
"000786","757CA002"
"000787","99A21CD4"
"000788","50BA5F3A"
"000789","D088A55A"
"000790","FB350868"
"000791","C42E47B9"
"000792","992EE7A0"
"000793","419740A8"
"000794","B9E56DA7"
"000795","DBDD1188"
"000796","772371AC"
"000797","37D40C75"
"000798","18E07E62"
"000799","ABDD8DB3"
"000800","BA6DC177"
"000801","1BB1D4AB"
"000802","49282179"
"000803","F7EB4D6F"
"000804","8820B61D"
"000805","66BC9055"
"000806","A615376D"
"000807","67C6BA7B"
"000808","239535CE"
"000809","DA8AC6BA"
"000810","4D3ACC75"
"000811","DC3A59B6"
"000812","531A36EB"
"000813","5647055C"
"000814","636710D9"
"000815","DF464DC8"
"000816","55F442C4"
"000817","A0A0C92A"
"000818","A2907D57"
"000819","16D77F5F"
"000820","2A00D598"
"000821","D2803A75"
"000822","13E98589"
"000823","D4BBC53B"
"000824","A17DF66D"
"000825","6AE41D83"
"000826","624130C0"
"000827","BF507303"
"000828","45226DC1"
"000829","95DD527C"
"000830","FB430194"
"000831","9CB4A722"
"000832","E3DEF28A"
"000833","77A74DD0"
"000834","22148678"
"000835","6614BF40"
"000836","904CB7E6"
"000837","3968DE82"
"000838","233AF563"
"000839","41F04D1C"
"000840","33F9AFA5"
"000841","2734A9F8"
"000842","389F3391"
"000843","8B07F06B"
"000844","A26EED50"
"000845","666CBA7B"
"000846","CCF2A799"
"000847","5DEC70B5"
"000848","40F97FFC"
"000849","88B88072"
"000850","CFA335F3"
"000851","18F47E86"
"000852","CCEA29FA"
"000853","A248A6F4"
"000854","5DF8C953"
"000855","19AA740A"
"000856","D82C5229"
"000857","92301A6F"
"000858","6AE2C618"
"000859","CF8F79A3"
"000860","BBC08FFF"
"000861","9925A47F"
"000862","D567C83C"
"000863","265D6EBE"
"000864","90D334C0"
"000865","BE0D7735"
"000866","15960BD3"
"000867","31BCF3B5"
"000868","CBD32B69"
"000869","68360F12"
"000870","D13EE217"
"000871","E9B0F7D9"
"000872","D91998D8"
"000873","D53FC5F6"
"000874","F4B38F8E"
"000875","49C52B8F"
"000876","385E933D"
"000877","64327852"
"000878","9825F780"
"000879","6558B1A4"
"000880","9B63557D"
"000881","7850A102"
"000882","183B6F48"
"000883","D12A7939"
"000884","8CE64E7E"
"000885","24C3434D"
"000886","47CC1F4B"
"000887","5D98943A"
"000888","CF216A70"
"000889","E6460AE8"
"000890","E1B54E8B"
"000891","D5CFF724"
"000892","84BEF64E"
"000893","9986FEB6"
"000894","9410F883"
"000895","6E75F788"
"000896","145D81E7"
"000897","2BF9263A"
"000898","32110D71"
"000899","6220EEF1"
"000900","9D671898"
"000901","F96580E2"
"000902","BF28BED3"
"000903","4B416064"
"000904","352C3718"
"000905","6291B2B3"
"000906","1D1A37AB"
"000907","79E90258"
"000908","3CDEDBFF"
"000909","68DFC158"
"000910","DEEB1C90"
"000911","A0290A0C"
"000912","54361482"
"000913","DFD646EE"
"000914","3CAE3AAB"
"000915","E98D1922"
"000916","892E61C2"
"000917","600C7533"
"000918","BF7CBE0B"
"000919","C9843177"
"000920","FB875AD2"
"000921","37014D5D"
"000922","19E5567C"
"000923","51550870"
"000924","FA4AE991"
"000925","54F169CA"
"000926","1F83A461"
"000927","4087202D"
"000928","1AD681AC"
"000929","24CABCA1"
"000930","1E5E523F"
"000931","4276013A"
"000932","6B8AB414"
"000933","FAE99F3D"
"000934","8E163878"
"000935","890FF892"
"000936","C0717BBD"
"000937","FD5694D0"
"000938","FBDCED98"
"000939","7F8DB8DA"
"000940","8DD7A6DB"
"000941","93C82325"
"000942","FE951EDA"
"000943","E83C3E41"
"000944","E401B99C"
"000945","EEB81949"
"000946","C46B15BF"
"000947","CE3E551F"
"000948","77D0AD9D"
"000949","FB67AD6D"
"000950","F29FC8FB"
"000951","277723C5"
"000952","8656EB9F"
"000953","66B9CBE2"
"000954","692CD67B"
"000955","A39B1781"
"000956","5D09DEEF"
"000957","F256F985"
"000958","F653C9B0"
"000959","F3B09424"
"000960","B568866E"
"000961","F69A2803"
"000962","72170E0E"
"000963","6115C75C"
"000964","D19B5E1B"
"000965","5851E0EC"
"000966","B706E848"
"000967","846CFE37"
"000968","2FBE0582"
"000969","7B6D1DA0"
"000970","1CB8E07B"
"000971","939CDDC3"
"000972","2B2EFF2D"
"000973","D3373870"
"000974","D8ABF226"
"000975","325DDF5D"
"000976","4E6DED8D"
"000977","9DD24C6D"
"000978","EC47EA73"
"000979","929A6F8B"
"000980","4CBCA8DF"
"000981","CB2B69BA"
"000982","DA124F06"
"000983","51330F2E"
"000984","F8E3906A"
"000985","C7AFFDF1"
"000986","111F32CF"
"000987","E883D925"
"000988","762577F9"
"000989","B097CDA7"
"000990","9430533E"
"000991","4C54C9DE"
"000992","A19B8ED6"
"000993","BAA2E27D"
"000994","89E0E0A5"
"000995","1AAA29AF"
"000996","2CDDA2F4"
"000997","FCB6C96D"
"000998","ECA85359"
"000999","D2367B53"
"001000","67071D74"
"001001","6DD2899C"
"001002","6C6AAAE0"
"001003","11FB4CCA"
"001004","AED51C25"
"001005","E95CA71F"
"001006","7FB8770C"
"001007","65F24A58"
"001008","7FC6053C"
"001009","25DA9F66"
"001010","E0CD0DAA"
"001011","E263F684"
"001012","3CCEF535"
"001013","78AD3288"
"001014","41C54B3F"
"001015","7ADD63B4"
"001016","C56768F3"
"001017","3578E5F1"
"001018","64753C7D"
"001019","9A824F37"
"001020","555781BB"
"001021","316E1349"
"001022","34AF166D"
"001023","A9C5043E"
"001024","8CE1460D"
"001025","11AFF0D5"
"001026","57B9D524"
"001027","11595C63"
"001028","D5893AB1"
"001029","B0A5E819"
"001030","A921EA90"
"001031","7B8445D0"
"001032","B7EEB984"
"001033","600EA0CC"
"001034","33FA52D3"
"001035","B3B52D37"
"001036","A0D06142"
"001037","AD382171"
"001038","201078D7"
"001039","20A2A82A"
"001040","D6850182"
"001041","A1CC5DEA"
"001042","64814171"
"001043","6EEFC521"
"001044","FCDD6187"
"001045","B62D9D73"
"001046","DC89A46D"
"001047","29AB5CE0"
"001048","5B8F40F8"
"001049","5A6A121E"
"001050","F8592FBF"
"001051","92C6C6F3"
"001052","9AF5F5B3"
"001053","805A0210"
"001054","A218D519"
"001055","8FED5288"
"001056","F421029F"
"001057","8C87E5A4"
"001058","8F446394"
"001059","2FF1E009"
"001060","93D509F7"
"001061","540DD79B"
"001062","E7E10AE4"
"001063","8A53FFC8"
"001064","BC4F7BAA"
"001065","C39FB8DE"
"001066","20074B70"
"001067","A529F299"
"001068","57495D74"
"001069","87856595"
"001070","24A2B023"
"001071","E608ED7D"
"001072","58E18EFF"
"001073","3D545FF7"
"001074","8235B350"
"001075","28510140"
"001076","7CC2E778"
"001077","AEC44BCA"
"001078","23DC2E08"
"001079","868E02C3"
"001080","E9069085"
"001081","C1059DBC"
"001082","B1B2B566"
"001083","856AD9F1"
"001084","7DFEF93C"
"001085","658DDDEB"
"001086","20353DE4"
"001087","7D008FA1"
"001088","3F43C74E"
"001089","8058DDF3"
"001090","3E136F39"
"001091","B916814B"
"001092","410320AF"
"001093","142A3F90"
"001094","7B64FD77"
"001095","523516F0"
"001096","9CC8B18D"
"001097","7766B1B0"
"001098","3414733B"
"001099","18385C56"
"001100","8296CC6D"
"001101","4BA83D8B"
"001102","A7C2C11C"
"001103","6B5BDBA1"
"001104","265A06BE"
"001105","EF3D0917"
"001106","CB51FC84"
"001107","32851D8E"
"001108","3E6BAE26"
"001109","724BEA1E"
"001110","73B1A732"
"001111","4CDE29DB"
"001112","86037B6F"
"001113","B1662F0B"
"001114","EE72E1AF"
"001115","799D6D7D"
"001116","AE24DD79"
"001117","84D9F7AB"
"001118","1316EABA"
"001119","8B246219"
"001120","98C042FD"
"001121","772483CC"
"001122","3FF6474B"
"001123","C26A582A"
"001124","646CBBA2"
"001125","8D6FD326"
"001126","1F0AF783"
"001127","84F4C570"
"001128","A34A54EE"
"001129","2B12F83A"
"001130","B9D4142F"
"001131","826A75CB"
"001132","F5499566"
"001133","2C987FCA"
"001134","2FF53B2F"
"001135","2F1AFF6A"
"001136","85406D32"
"001137","6FDA4911"
"001138","922022C1"
"001139","D69FD827"
"001140","A8E1074E"
"001141","CD4E326F"
"001142","9242BA2D"
"001143","65087127"
"001144","EDD2D10B"
"001145","5AAAF911"
"001146","7AE03507"
"001147","9DCEB2FF"
"001148","D1DA1FCB"
"001149","3898AAE2"
"001150","91E76178"
"001151","2E1D3D30"
"001152","E126D0B3"
"001153","6C2C0C99"
"001154","5F44A801"
"001155","ABBCC8FD"
"001156","DC8E4292"
"001157","697850FD"
"001158","34DA199C"
"001159","E34A10F4"
"001160","19A10BE7"
"001161","5E8E8550"
"001162","9C73E572"
"001163","572196B0"
"001164","9838CB9F"
"001165","FDCE0E4C"
"001166","48BB9AE8"
"001167","2CBAB190"
"001168","FC467371"
"001169","5B759B83"
"001170","6018979C"
"001171","DFF73B94"
"001172","57557171"
"001173","8CEFE905"
"001174","93D7FEB4"
"001175","4B39453D"
"001176","63640D6B"
"001177","5863BA26"
"001178","22E29CAA"
"001179","67DC27EB"
"001180","105D6967"
"001181","489A6042"
"001182","E5B3142F"
"001183","FCFA5F96"
"001184","2EAD76F3"
"001185","145C3A72"
"001186","712AB896"
"001187","22358500"
"001188","C4134A2F"
"001189","C8EE852B"
"001190","9F4F7161"
"001191","F981CB67"
"001192","2402280E"
"001193","8D69DD65"
"001194","AFE90932"
